FISERV_ACCOUNT_ID,CREDIT_ABUSER_FLAG
C3JTXH4XVPQ10891,0
C3K86580KZZM7685,0
C3L529NBT9HZ5966,0
C3K62X2K0RSN9177,0
C3K4D7MC772P6904,0
C3L1QH3645V86049,0
C3K5WLFRP8K14194,0
C3KQRRQNJNWJ5308,0
C3K6VCCP7TXF6477,0
C3KMW8K5337G6690,0
C3K599MJSZKS7835,0
C3KXQ08J9BTD6948,0
C3PVMR6DQDK31182,0
C3K8PR467JKK0589,0
C3K062C87Z3B1035,0
C3PS4HX971DZ8862,0
C3JZW1JKGHR73933,0
C3KVBR1CRP660952,0
C3K5Z3MMFW4W5613,0
C3K6KR4V35157120,0
C3L0XRHHDCJM8393,0
C3KC2Q4JP4947267,0
C3KKKMPW6PGJ5913,0
C3L4P1DW3HT75538,0
C3K2CLML5XPH8540,0
C3K78NM1ZDKP0163,0
C3JZW13PZMZ23925,0
C3KQWL217RHF8393,0
C3KPMML9XNPK3255,0
C3KZ7P6P6C9Z5525,0
C3PTTNL8F0G44915,0
C3K9D74FXP8C9456,0
C3KBFVKSSKG17433,0
C3L5V1PZ4FMQ3043,0
C3KXF86SB31Q0958,0
C3KJPR02D2351624,0
C3L64L156P549297,0
C3KJQ54T0VX82168,0
C3L5FXWG2D513614,0
C3K8LV7R1TTZ8575,0
C3KQ5WLWRQJD5168,0
C3K66V0CNCGW2965,0
C3L0BGLL4XND7883,0
C3L5GT2WKZJJ4257,0
C3KX9902ZFPD8523,0
C3KXZJBB3PNP0880,0
C3PV7TW8H9RB1886,0
C3KW7N0DF3B88293,0
C3KTBDG49QDC8388,0
C3L7H5CFKZ7Q4592,0
C3KCRJBHXJMR7225,0
C3KGLZH1167T9290,0
C3L8B43P69JZ7436,0
C3K9BL6QDNMW7476,0
C3K9MLQ55XZD3045,0
C3KZGXXVJGVC0103,1
C3L5KQ80RBB46070,0
C3K21MSPPJV04259,0
C3KNPDJJZ7T64164,0
C3KT099DW2761409,0
C3L654T0B1HX9479,0
C3L7LL2QL9VD7264,0
C3K6BV1G29Z18343,0
C3K4MW9H31JG3587,0
C3KHVTLSLZ4J8514,0
C3KCZMNM7X219924,0
C3JX13Q7FJD47457,0
C3K97J6LSXB65421,0
